District Name,State,Students,Budget,Tier,Decision Maker,Title,Email,LinkedIn,Phone,Email Sent,Response,Demo Date,Pilot Start,Contract Value,Status,Notes
Trinity School,NY,1000,$300M endowment,Private School,TBD,STEM Coordinator,TBD,TBD,TBD,,,,,$50000,identified,NYC elite
Sidwell Friends,DC,1150,$200M endowment,Private School,TBD,Technology Director,TBD,TBD,TBD,,,,,$50000,identified,Presidential children school
St. Paul's School,NH,540,$600M endowment,Private School,TBD,CTO,TBD,TBD,TBD,,,,,$40000,identified,Elite boarding school
Austin ISD,TX,75000,$1.5B,Tech-Forward,TBD,CTO,TBD,TBD,TBD,,,,,$150000,identified,Tech hub - innovation focus
Seattle Public Schools,WA,53000,$1.2B,Tech-Forward,TBD,Technology Director,TBD,TBD,TBD,,,,,$150000,identified,Microsoft/Amazon area
San Francisco USD,CA,57000,$1.4B,Tech-Forward,TBD,CTO,TBD,TBD,TBD,,,,,$150000,identified,Silicon Valley - tech forward
Boulder Valley,CO,30000,$600M,Tech-Forward,TBD,Technology Director,TBD,TBD,TBD,,,,,$100000,identified,Colorado - innovation
Portland Public Schools,OR,48000,$900M,Tech-Forward,TBD,CTO,TBD,TBD,TBD,,,,,$150000,identified,Oregon - tech adoption
Raleigh-Durham,NC,35000,$700M,Tech-Forward,TBD,Technology Director,TBD,TBD,TBD,,,,,$100000,identified,Research Triangle
Boston Public Schools,MA,55000,$1.3B,Tech-Forward,TBD,CTO,TBD,TBD,TBD,,,,,$150000,identified,Education hub
Denver Public Schools,CO,92000,$1.8B,Tech-Forward,TBD,Technology Director,TBD,TBD,TBD,,,,,$200000,identified,Colorado - large district
San Diego USD,CA,121000,$2.4B,Tech-Forward,TBD,CTO,TBD,TBD,TBD,,,,,$250000,identified,California - tech forward
Arlington Public Schools,VA,28000,$700M,Tech-Forward,TBD,Technology Director,TBD,TBD,TBD,,,,,$100000,identified,DC area - innovation
